timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580423524712648,-2.28874 0.220742  2.60176,-0.0148264 -0.00529788  -0.0172612,0.0774163  0.332011 0.0692831,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524713637,-2.28871 0.220778  2.60182,0.00112672 0.00865585 0.00764141,0.0781006  0.334211 0.0706182,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524714653,-2.28871 0.220753  2.60183,0.00188468 -0.00223576   0.0130646,0.0767487  0.326689 0.0661789,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524715596,-2.28869 0.220688  2.60184,0.0108548 -0.0273168  0.0138245,0.0705904  0.337507 0.0664459,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524716750,-2.28868 0.220667   2.6018,  0.014382  -0.0291298 -0.00687528,0.0698728   0.34864 0.0666462,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524717607,-2.28869 0.220658  2.60179,0.00441198 -0.0237562 -0.0100607,0.0713748  0.355565 0.0618063,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524718667,-2.28875 0.220679  2.60178,-0.0210148 -0.00646107 -0.00947381,0.0726432  0.330248 0.0620733,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524719640,-2.28874 0.220698  2.60176,-0.0153122  0.0062189 -0.0165763,0.0773162  0.328525 0.0677811,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524720595,-2.28869 0.220713  2.60177, 0.0102136   0.0128092 -0.00864298,0.0737447  0.327366 0.0667463,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524721599,-2.28865 0.220724   2.6018,0.0251282  0.0141635 0.00786762,0.0745291  0.310602 0.0677143,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524722600,-2.28867 0.220755  2.60185,0.0108935 0.0212609 0.0256198,0.0714916  0.312435 0.0701009,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524723663,-2.28869 0.220772  2.60181,-0.000686068    0.0210569   0.00488747,0.0727433  0.315244 0.0730716,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524724650,-2.2887 0.220732  2.60177,-0.00787229 -0.00129638  -0.0108961,0.0736612  0.318337 0.0680982,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524725618,-2.28872 0.220726  2.60183,-0.0109466 -0.0066047 0.00958445,0.0778335  0.317012 0.0660787,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524726766,-2.28875 0.220768  2.60181,-0.0192529 0.00995175 0.00294778,0.0788516  0.316247 0.0715028,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524727608,-2.28874 0.220726   2.6018,-0.0120245 -0.00788256 -0.00192052,0.0777334   0.32822 0.0717698,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524728693,-2.28876 0.220768   2.6018,-0.0140858  0.00901658 -0.00491352,0.0749797  0.307064 0.0684987,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524729652,-2.28872 0.220749  2.60179,0.00575089 0.000300092 -0.00628437,0.0729269  0.317364  0.069717,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524730604,-2.28874 0.220686  2.60176,-0.000455016   -0.0241859   -0.0145417,0.0748629   0.31646 0.0652109,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524731597,-2.28875 0.220692  2.60172,-0.005441 -0.0173115 -0.0259963,0.0730103   0.32432 0.0708018,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524732592,-2.28874  0.22065  2.60177, 0.00194154     -0.02714 -0.000976179,0.0735611  0.329788  0.062791,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524733639,-2.28878   0.2206  2.60178,-0.0120152 -0.0369129 0.00701848,0.0740451    0.3455 0.0693999,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524734638,-2.28873 0.220623  2.60181,0.00859032 -0.0168066  0.0193488,0.0796861   0.34664 0.0724207,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524735592,-2.28872  0.22069  2.60181,0.0115665 0.0171453 0.0140007,0.0748962  0.321482 0.0762092,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524736750,-2.28874 0.220665  2.60176,0.00160901 0.00796691 -0.0105218,0.0800032  0.340876 0.0680314,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524737593,-2.28873  0.22065  2.60177, 0.00390634 -0.000699795  -0.00617384,0.0782007  0.329137 0.0725876,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524738673,-2.28875 0.220734  2.60175,-0.00476021    0.030454  -0.0108041,0.0785512  0.329035 0.0668965,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524739633,-2.28876 0.220742  2.60179,-0.00912615   0.0266788  0.00624156,0.0820059  0.320962 0.0596701,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524740597,-2.28877 0.220698  2.60184,-0.0103323 0.000475176   0.0251771,0.0808543  0.332482 0.0636755,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524741600,-2.28877 0.220734  2.60183,-0.00834284    0.010482   0.0145314,0.0831908  0.311672 0.0632416,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524742595,-2.2888 0.220709  2.60182,-0.0149014 -0.00245028  0.00425632,0.0863952  0.314442 0.0599037,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524743669,-2.28874  0.22069   2.6018, 0.0114797  -0.0106631 -0.00371004,0.0763482  0.317168 0.0649272,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524744653,-2.28872 0.220702  2.60182, 0.0169641 -0.00465828  0.00165541,0.0710577  0.315614 0.0599204,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524745663,-2.28874 0.220686  2.60185,0.00800429 -0.00855694   0.0140616,0.0760979  0.327483 0.0583683,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524746778,-2.28875 0.220677  2.60183,0.000338137 -0.00946938 0.000863804,0.0800032  0.319126  0.060855,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524747608,-2.28876 0.220669  2.60178,-0.00483032 -0.00844017   -0.017414,0.0830406  0.321618 0.0575338,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524748664,-2.28871  0.22062  2.60178,0.0111616 -0.0243204 -0.0166826,0.0748795  0.331524  0.060638,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524749666,-2.28871 0.220612   2.6018,  0.010296  -0.0203786 -0.00322275,0.0742787   0.35858 0.0611554,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524750662,-2.28869 0.220682  2.60179, 0.0164381   0.0136675 -0.00241584,0.0688046  0.347078 0.0735055,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524751609,-2.2887 0.220686  2.60184,0.00817209  0.0151474   0.016816,0.0704068  0.345955  0.071436,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524752610,-2.28873 0.220713  2.60185,-0.00759789   0.0213731    0.016379,0.0735277  0.331376 0.0712024,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524753667,-2.2887 0.220726  2.60178,0.00174763  0.0207015 -0.0147753,0.0760979  0.329189 0.0754748,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
1580423524754666,-2.28876 0.220686  2.60178,-0.0193147 -0.0022014 -0.0139997,0.0727099  0.344664 0.0710688,0 0 0,nan nan nan,nan nan nan,nan nan nan,0 0 -0 
