timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580424332109198,-0.0274668    1.48352,-0.0104876   -1.38626,0.0643337 -0.524411,      0 -2114.48,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332110286,-0.027469   1.48202,-0.00955546    -1.42532,0.0588696 -0.497647,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.807074 
1580424332111194,-0.0274934    1.48062,-0.0157597   -1.42186,0.0566842 -0.515288,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332112222,-0.0275091    1.47913,-0.0169205   -1.44586,0.0552744 -0.494293,      0 -2113.72,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332113194,-0.0274921    1.47758,-0.00469491    -1.49112,0.0493046  -0.46957,      0 -2113.72,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332114202,-0.0275023    1.47617,-0.00505219    -1.46865,0.0541733 -0.494127,      0 -2113.72,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332115205,-0.0275075    1.47477,-0.00456284    -1.44331,0.0579462 -0.510581,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332116203,-0.0274868    1.47323,0.00524096   -1.47563,0.0626068 -0.495939,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332117208,-0.0275201    1.47178,-0.00767609    -1.46722,0.0656337 -0.519016,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332118172,-0.0274945    1.47036,0.00341714   -1.45198,0.0639347 -0.523161,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.806002 
1580424332119181,-0.0274267    1.46887,0.0289498  -1.46215,0.0518735 -0.492731,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332120193,-0.0274294    1.46754,0.0214778  -1.41457,0.0536013 -0.543406,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332121179,-0.0274106    1.46604,0.020815 -1.43895,0.0498828 -0.523557,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332122213,-0.0274017    1.46448,0.016318 -1.48702,0.0477846 -0.481588,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332123173,-0.0274004    1.46304,0.00995773   -1.47682,0.0538331 -0.507603,     0 -2112.6,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332124179,-0.0274503    1.46157,-0.0139098   -1.47615,0.0583171 -0.506832,      0 -2112.12,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332125176,-0.0275109    1.46001,-0.0357337   -1.50858,0.0597733 -0.475736,      0 -2111.08,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332126197,-0.0275037     1.4586,-0.0244066   -1.47496,0.0606598  -0.49698,      0 -2111.08,nan nan,nan nan,nan  -1,-0 -0.80493 
1580424332127199,-0.0274449    1.45708,0.00714798   -1.48713,0.0539317 -0.489503,      0 -2109.96,nan nan,nan nan,nan  -1,-0 -0.80493 
